kytreasno,type,maturity_date,ttm,cpn_rate,price,reported_ytm_percent,calculated_ytm_percent,ytm_difference_bps
208129,note,2025-10-31,0.5037645448323066,5.0,100.4072362,4.137080909007418,4.168551748265298,3.147083925787997
208213,note,2026-04-30,0.999315537303217,4.875,100.941008,3.90864676624596,3.906333936452725,-0.23128297932349662
208302,note,2026-10-31,1.503080082135524,4.125,100.58203125,3.7147455983005617,3.722446516552439,0.7700918251877381
208385,note,2027-04-30,1.998631074606434,3.75,100.29492185,3.59806017101163,3.595851929843721,-0.2208241167909325
207960,note,2027-10-31,2.502395619438741,4.125,101.2832031,3.5803339825470903,3.583799646710764,0.3465664163673776
208044,note,2028-04-30,3.000684462696783,3.5,99.74023435,3.5911691621512984,3.5921124058559752,0.09432437046770492
208132,note,2028-10-31,3.504449007529089,4.875,104.06249995,3.6240171388604034,3.628537694787649,0.4520555927245429
208216,note,2029-04-30,4.0,4.625,103.55859375,3.660274658231888,3.6605285250816246,0.025386684973649487
208305,note,2029-10-31,4.503764544832307,4.125,101.78515625,3.6877293596794916,3.6908029159040496,0.3073556224558044
208388,note,2030-04-30,4.999315537303217,3.875,100.71484375,3.7172553996667625,3.717013854827077,-0.02415448396859976
208133,note,2030-10-31,5.503080082135524,4.875,105.3457031,3.786966884649967,3.789115951190293,0.2149066540325928
208217,note,2031-04-30,5.998631074606434,4.625,104.14648435,3.8450721579175173,3.8445584320753317,-0.051372584218556394
208306,note,2031-10-31,6.50239561943874,4.125,101.28906245,3.8970854264457335,3.8985785345841024,0.1493108138368726
208389,note,2032-04-30,7.000684462696783,4.0,100.4296875,3.928630704732994,3.929190689603787,0.05599848707932287
207975,note,2032-11-15,7.545516769336071,4.125,101.00585935,3.967086720932933,3.968620753770449,0.1534032837516297
208060,note,2033-05-15,8.041067761806982,3.375,95.51171875,4.033932931971895,4.037096745513041,0.31638135411453383
208147,note,2033-11-15,8.544832306639288,4.5,103.0957031,4.065545406391102,4.0655997135213235,0.005430713022128164
208231,note,2034-05-15,9.040383299110198,4.375,101.9316406,4.11693223423728,4.115995128202736,-0.09371060345431115
208320,note,2034-11-15,9.544147843942506,4.25,100.78125,4.148625123478888,4.149651912571858,0.10267890929699375
208360,note,2035-02-15,9.796030116358658,4.625,103.7578125,4.153486143469154,4.1617734504077,0.8287306938545985
