kytreasno,type,maturity_date,ttm,cpn_rate,price,reported_ytm_percent,calculated_ytm_percent,ytm_difference_bps
208300,bill,2025-05-01,0.002737850787132101,0.0,100.0,0.0,0.0,0.0
208327,bill,2025-05-06,0.01642710472279261,0.0,99.94168055,3.5829477108508367,3.5829477108508367,0.0
208311,bill,2025-05-08,0.02190280629705681,0.0,99.91833335,3.7651180084713687,3.76511800847128,-8.881784197001252e-12
208336,bill,2025-05-13,0.03559206023271732,0.0,99.85966665,3.9847730637719616,3.984773063772451,4.891920202254596e-11
207886,note,2025-05-15,0.04106776180698152,2.75,99.93509949999999,4.346293594660722,2.8816712190294504,-146.46223756312713
208226,bill,2025-05-15,0.04106776180698152,0.0,99.83627775,4.0299681694210046,4.029968169421183,1.7832957333041577e-11
206859,note,2025-05-15,0.04106776180698152,2.125,99.9114561,4.304298866235623,2.3041279647609305,-200.01709014746925
208337,bill,2025-05-20,0.05475701574264202,0.0,99.77674999999999,4.123595653112888,4.123595653112533,-3.552713678800501e-11
208312,bill,2025-05-22,0.06023271731690623,0.0,99.75279499999999,4.151751422740979,4.151751422741068,8.881784197001252e-12
208338,bill,2025-05-27,0.07392197125256673,0.0,99.6950922,4.1739847806942185,4.173984780694129,-8.951173136040325e-12
208313,bill,2025-05-29,0.07939767282683094,0.0,99.6721822,4.1786450083052715,4.178645008305093,-1.7832957333041577e-11
207214,note,2025-05-31,0.08487337440109514,2.875,99.86535599999999,4.4653030073047875,3.1485273031019743,-131.67757042028134
208056,note,2025-05-31,0.08487337440109514,4.25,99.9776748,4.491478651959646,4.295609403390496,-19.586924856915058
207545,note,2025-05-31,0.08487337440109514,0.25,99.64950865,4.431494007050274,25.7913792533286,2135.9885246278327
208339,bill,2025-06-03,0.09308692676249145,0.0,99.61400695,4.198062854699902,4.198062854699813,-8.881784197001252e-12
208314,bill,2025-06-05,0.09856262833675565,0.0,99.5892361,4.22003006498608,4.220030064986169,8.881784197001252e-12
208349,bill,2025-06-10,0.1122518822724162,0.0,99.53240275,4.219266128745813,4.219266128745813,0.0
